m_x,sd_x,label
269.7,137.98096,A
264.1,141.1132,A
273.85,142.76123,A
264.85,153.16116,A
269.75,131.06723,A
262.7,127.68592,A
277.9,150.57256,A
276.0,157.81635,A
266.1,136.54146,A
268.1,145.14308,A
280.15,148.44325,B
279.8,155.0788,B
285.9,146.47037,B
301.15,185.02838,B
278.0,133.9057,B
283.2,159.39545,B
312.9,177.453,B
293.75,137.08502,B
295.2,161.47856,B
292.45,184.11366,B
280.5,59.31051,C
275.8,79.92602,C
275.2,30.564175,C
280.5,59.88717,C
298.75,58.028008,C
301.85,77.32588,C
302.05,59.51867,C
302.15,47.810234,C
299.7,68.55969,C
316.15,70.4723,C
